DIVIPO,NIT,ORGANISMO,CATEGORIA,CIUDAD,DEPARTAMENTO,ESTADO
54206000,80009923691,CONVENCION-NORTE DE SANTANDER (MCPAL) MCPAL,A,CONVENCION,Norte de Santander,ACTIVO
5212000,89098076731,COPACABANA -ANTIOQUIA (MCPAL) MCPAL,A,COPACABANA,Antioquia,ACTIVO
70215000,82300193211,COROZAL-SUCRE (MCPAL) MCPAL,A,COROZAL,Sucre,ACTIVO
25214001,83003175701,COTA-CUNDINAMARCA (DPTAL) DPTAL,A,COTA,Cundinamarca,ACTIVO
54001000,,CUCUTA-NORTE DE SANTANDER (MCPAL) MCPAL,A,CUCUTA,Norte de Santander,ACTIVO
66170000,80009931061,DOSQUEBRADAS-RISARALDA (MCPAL) MCPAL,A,DOSQUEBRADAS,Risaralda,ACTIVO
15238000,89185513811,DUITAMA-BOYACA (MCPAL) MCPAL,A,DUITAMA,Boyaca,ACTIVO
47245000,90016533871,EL BANCO-MAGDALENA (MCPAL) MCPAL,A,EL BANCO,Magdalena,ACTIVO
5148000,890982616,EL CARMEN DE VIBORAL-ANTIOQUIA (MCPAL) MCPAL,A,EL CARMEN DE VIBORAL,Antioquia,ACTIVO
76248000,80025443911,EL CERRITO-VALLE (MCPAL) MCPAL,A,EL CERRITO,Valle del Cauca,ACTIVO
25260001,83003175701,EL ROSAL-CUNDINAMARCA (DPTAL ) DPTAL,A,EL ROSAL,Cundinamarca,ACTIVO
5697000,,EL SANTUARIO-ANTIOQUIA (MCPAL) MCPAL,A,EL SANTUARIO,Antioquia,ACTIVO
19256000,8915009786,EL TAMBO-CAUCA (MCPAL) MCPAL,A,EL TAMBO,Cauca,ACTIVO
54261000,80010392771,EL ZULIA -NORTE DE SANTANDER (MCPAL) MCPAL,A,EL ZULIA,Norte de Santander,ACTIVO
54261001,80010392771,EL ZULIA -NOTE DE SANTANDER (DPTAL ) DPTAL,A,EL ZULIA,Norte de Santander,ACTIVO
5266000,89090710651,ENVIGADO-ANTIOQUIA (MCPAL) MCPAL,A,ENVIGADO,Antioquia,ACTIVO
73268000,,ESPINAL-TOLIMA (MCPAL) MCPAL,A,ESPINAL,Tolima,ACTIVO
