CIUDAD,DEPARTAMENTO,LAT,LNG
SAN JOSE DEL GUAVIARE,Guaviare,2.5716141,-72.6426515
CAMPOALEGRE,Huila,2.6851032,-75.3263227
GARZON,Huila,2.1960126,-75.6274845
GUADALUPE,Huila,2.0248785,-75.7564049
LA PLATA,Huila,2.3894154,-75.8926236
NEIVA,Huila,2.9257038,-75.2893937
PALERMO,Huila,2.8896962,-75.4346589
PITALITO,Huila,1.8447122,-76.0456886
RIVERA,Huila,2.7776396,-75.2572183
TIMANA,Huila,1.9501689,-75.9265797
MAICAO,La Guajira,11.3773054,-72.2387633
RIOHACHA,La Guajira,11.2361913,-72.8820456
ARACATACA,Magdalena,10.5906011,-74.1876803
CIENAGA,Magdalena,11.0107899,-74.2516386
EL BANCO,Magdalena,9.0049173,-73.9738472
FUNDACION,Magdalena,10.5155669,-74.1901088
PLATO,Magdalena,9.7904163,-74.7820016
SANTA MARTA,Magdalena,11.2320944,-74.1950916
ACACIAS,Meta,3.9887317,-73.767432
GRANADA,Meta,3.548259,-73.7051174
GUAMAL,Meta,3.8772676,-73.770142
RESTREPO,Meta,4.2597265,-73.5654839
VILLAVICENCIO,Meta,4.1347644,-73.6201517
BUESACO,Narino,1.384101,-77.156619
GUACHUCAL,Narino,0.9573434,-77.7333581
IMUES,Narino,1.0693749,-77.504296
IPIALES,Narino,0.8236501,-77.6348556
LA UNION LA UNION,Narino,1.6032723,-77.1315447
NARINO,Narino,1.2906755,-77.3578572
PASTO,Narino,1.2140275,-77.2785096
PUPIALES,Narino,0.8707969,-77.6419358
SAMANIEGO,Narino,1.3389525,-77.5933795
SANDONA,Narino,1.2863843,-77.4710722
SANDONA SANDONA,Narino,1.2863843,-77.4710722
TUMACO,Narino,1.8062887,-78.7649814
TUQUERRES,Narino,1.0877024,-77.6188242
CONVENCION,Norte de Santander,8.4662543,-73.3362193
CUCUTA,Norte de Santander,8.0776187,-72.4689002
EL ZULIA,Norte de Santander,8.0954887,-72.6463775
LOS PATIOS,Norte de Santander,7.8342202,-72.5059128
OCANA,Norte de Santander,8.2354064,-73.3538495
PAMPLONA,Norte de Santander,7.3763807,-72.6482628
VILLA DEL ROSARIO,Norte de Santander,7.8318933,-72.4717181
SAN ANDRES, Archipielago de San Andres Providencia,12.5830104,-81.6975682
MOCOA,Putumayo,1.1466295,-76.6482327
ORITO,Putumayo,0.6686314,-76.8749187
PUERTO ASIS,Putumayo,0.4979751,-76.4951418
VALLE DEL GUAMUEZ,Putumayo,0.4493223,-76.8784528
ARMENIA,Quindio,4.4919894,-75.7413961
CALARCA,Quindio,4.5305855,-75.640632
CIRCASIA,Quindio,4.6075667,-75.6667067
LA TEBAIDA,Quindio,4.4512175,-75.7887314
QUIMBAYA,Quindio,4.6231176,-75.7637346
DOSQUEBRADAS,Risaralda,4.8339551,-75.6713013
LA VIRGINIA,Risaralda,4.8995993,-75.8825661
PEREIRA,Risaralda,4.7854606,-75.788322
SANTA ROSA DE CABAL,Risaralda,4.8650708,-75.6211554
BARBOSA,Santander,5.9326035,-73.6124368
BARRANCABERMEJA,Santander,7.0673313,-73.8525627
BUCARAMANGA,Santander,7.1669842,-73.1047294
CHARALA,Santander,6.2881742,-73.148289
FLORIDABLANCA,Santander,7.0625677,-73.0859086
GIRON,Santander,7.069069,-73.1700282
MALAGA,Santander,6.699661,-72.7324563
PIEDECUESTA,Santander,6.9874808,-73.0504129
SAN GIL,Santander,6.5552856,-73.1312353
SAN VICENTE DE CHUCURI,Santander,6.9287793,-73.5207543
SOCORRO,Santander,6.470518,-73.2623187
VELEZ,Santander,6.1354127,-73.8342096
COROZAL,Sucre,9.3192389,-75.2947262
SAMPUES,Sucre,9.1845583,-75.3802368
SINCELEJO,Sucre,9.2973386,-75.3926601
ALVARADO,Tolima,4.567169,-74.9538251
ARMERO,Tolima,5.0301119,-74.8835029
CHAPARRAL,Tolima,3.7245851,-75.485156
ESPINAL,Tolima,4.1503044,-74.8845895
FRESNO,Tolima,5.1516594,-75.0366354
GUAMO,Tolima,4.0303906,-74.9679007
HONDA,Tolima,5.210419,-74.7361921
IBAGUE,Tolima,4.4386033,-75.2108857
LIBANO,Tolima,4.9229399,-75.0647738
MARIQUITA,Tolima,5.1974195,-74.8939527
MELGAR,Tolima,4.2039758,-74.6429479
PURIFICACION,Tolima,3.8582108,-74.9308216
ANDALUCIA,Valle del Cauca,4.1694199,-76.1670623
BUENAVENTURA,Valle del Cauca,3.8881929,-77.0738324
CAICEDONIA,Valle del Cauca,4.3076028,-75.8397908
CALI,Valle del Cauca,3.4108435,-76.5812127
CANDELARIA,Valle del Cauca,3.4090481,-76.347379
CARTAGO,Valle del Cauca,4.7106593,-75.9323875
EL CERRITO,Valle del Cauca,3.6829185,-76.3071487
FLORIDA,Valle del Cauca,3.3004741,-76.1897061
GUACARI,Valle del Cauca,3.7630235,-76.3344854
